/net8 X,/net8 Y,/net6 X,/net6 Y
0,0.7358674093281791,0,-0.0003358825705171886
0.4,0.3420434759651982,0.4,0.0003515839273385024
0.8,-0.05119665178347634,0.8,0.001104063665278838
1.2,-0.4438227300590523,1.2,0.001924998763041743
1.6,-0.8364469279160884,1.6,0.002746322664567686
2,-1.2290487670697,2,0.003570392822035379
2.4,-1.621600403617472,2.4,0.004400392151763846
2.8,-2.01408962485148,2.8,0.00523776902310744
3.2,-2.406508627905844,3.2,0.00608348652300666
3.6,-2.798852723159153,3.6,0.006938167181860282
4,-3.191118408316151,4,0.007802307775397766
4.399999999999999,-3.583302845486823,4.399999999999999,0.008676337952577122
4.8,-3.975403582866447,4.8,0.00956065166840625
5.2,-4.367418399819332,5.2,0.01045562491246426
5.600000000000001,-4.759345215275698,5.600000000000001,0.0113616264250303
6.000000000000001,-5.151182030588612,6.000000000000001,0.0122790246159557
6.400000000000001,-5.542926892139234,6.400000000000001,0.01320819232758939
6.800000000000002,-5.934577865765362,6.800000000000002,0.01414951032794163
7.200000000000002,-6.326133018531185,7.200000000000002,0.01510337003738575
7.600000000000002,-6.717590405192772,7.600000000000002,0.016070175788202
8.000000000000002,-7.108948057737726,8.000000000000002,0.01705034680277307
8.400000000000002,-7.500203976971,8.400000000000002,0.01804431901074154
8.800000000000002,-7.89135609261116,8.800000000000002,0.01905255053580392
9.200000000000003,-8.249437568860674,9.200000000000003,0.02386722891752412
9.600000000000003,-8.309814809967044,9.600000000000003,0.0674185220033809
10,-8.324658419642478,10,0.143835459747097
10.4,-8.327782145096922,10.4,0.2984457895107004
10.8,-8.327317989402799,10.8,0.4943106216356632
11.2,-8.326680473281463,11.2,0.6925650941126237
11.6,-8.326050941970671,11.6,0.8908635315996153
12.00000000000001,-8.325433251611308,12.00000000000001,1.089150836409201
12.40000000000001,-8.324827006692255,12.40000000000001,1.287425974418486
12.80000000000001,-8.324231743935146,12.80000000000001,1.485689110848839
13.20000000000001,-8.323647026398834,13.20000000000001,1.683940423827388
13.60000000000001,-8.32307244268225,13.60000000000001,1.882180079254618
14.00000000000001,-8.322507605020427,14.00000000000001,2.080408231085989
14.40000000000001,-8.321952147512128,14.40000000000001,2.278625022186311
14.80000000000001,-8.321405724509017,14.80000000000001,2.476830585125211
15.20000000000001,-8.320868009150358,15.20000000000001,2.675025042901215
15.60000000000001,-8.320338692027827,15.60000000000001,2.87320850960135
16.00000000000001,-8.319817479966771,16.00000000000001,3.071381091003013
16.40000000000001,-8.319304094911987,16.40000000000001,3.269542885123967
16.8,-8.318798272907429,16.8,3.46769398272578
17.2,-8.318299763160507,17.2,3.665834467775271
17.6,-8.317808327182693,17.6,3.86396441786813
18,-8.317323737999113,18,4.062083904618295
18.4,-8.316845779420557,18.4,4.26019299401636
18.8,-8.316374245372121,18.8,4.458291746759893
19.2,-8.315908939273237,19.2,4.656380218558239
19.59999999999999,-8.315449673464485,19.59999999999999,4.854458460414113
20,-8.314996268676973,20,5.052526518884045
